Blank,Member Number,Account Number,FIRST NAME,MIDDLE NAME,LAST NAME,ROUTE NO.,ROUTE NAME,PHOTO,Phone Number,NATIONAL ID,NSSF,NHIF,Address,Homestead,Town,Postal Code,District,Province,Latitude,Longitude,Status,FarmName
,00002,0894-0000-0002,MARY,,NYAMBURA,R001,LIMURU,,254730638900,91305497,182734450,274039947,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Nyambura Limuru Farm
,00005,0894-0000-0005,PHILIS,WANJIKU,KIMUCHU,R001,LIMURU,,254722898585,13898585,27920626,41819211,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kimuchu Limuru Farm
,00009,0894-0000-0009,GODFREY,,NGUGI,R001,LIMURU,,254722910930,14022041,28167538,42189579,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Ngugi Limuru Farm
,00014,0894-0000-0014,PAUL,,NJENGA,R003,RIRONI,,254730651245,91428953,182981362,274410315,P. O. Box 8,Rironi,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njenga Rironi Farm
,00022,0894-0000-0022,EVANS,,WACHIRA,R014,KWAMBIRA,,254722923275,14145497,28414450,42559947,P. O. Box 8,Kwambira,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wachira Kwambira Farm
,00024,0894-0000-0024,WAIRIMU,,NGUGI,R017,GATIMU,,254722935620,14268953,28661362,42930315,P. O. Box 8,Gatimu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Ngugi Gatimu Farm
,00031,0894-0000-0031,MARGARET,,NJERI,R016,KIROE,,254730663590,91552409,183228274,274780683,P. O. Box 8,Kiroe,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njeri Kiroe Farm
,00033,0894-0000-0033,JANE,,NYAMBURA,R004,TIEKUNU,,254722947965,14392409,28908274,43300683,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Nyambura Tiekunu Farm
,00037,0894-0000-0037,KANORI,,WATI,R009,NDERU,,254722960310,14515865,29155186,43671051,P. O. Box 8,Nderu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wati Nderu Farm
,00050,0894-0000-0050,RAHAB,,WANGUI,R016,KIROE,,254722972655,14639321,29402098,44041419,P. O. Box 8,Kiroe,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wangui Kiroe Farm
,00058,0894-0000-0058,SALOME,,WAMBUI,R001,LIMURU,,254748094730,265872281,531868018,797740299,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wambui Limuru Farm
,00059,0894-0000-0059,JOHN,,NJOROGE,R017,GATIMU,,254748107075,265995737,532114930,798110667,P. O. Box 8,Gatimu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njoroge Gatimu Farm
,00064,0894-0000-0064,SERAH,,MAGU,R003,RIRONI,,254748119420,266119193,532361842,798481035,P. O. Box 8,Rironi,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Magu Rironi Farm
